state,spending_type,income_level,age_group,total_spendings,date_posted
NY,Hobby,High Income,>= 50,308,9/13/2012
NY,Entertainment,High Income,>= 50,329,9/13/2012
NY,Education,High Income,>= 50,319,9/16/2012
NY,Hobby,High Income,>= 50,382,9/17/2012
NY,Hobby,High Income,>= 50,327,9/17/2012
NY,Hobby,High Income,>= 50,388.39,9/17/2012
NY,Entertainment,High Income,>= 50,402,9/17/2012
NY,Vacation,High Income,>= 50,21111,9/17/2012
NY,Hobby,Low Income,>= 50,353,9/17/2012
NY,Entertainment,High Income,>= 50,1000,9/17/2012
NY,Hobby,High Income,>= 50,846.35,9/17/2012
NY,Gamble,High Income,>= 50,300,9/17/2012
NY,Entertainment,High Income,>= 50,4600,9/17/2012
NY,Hobby,High Income,40 to 50,335.27,9/17/2012
NY,Food and Restaurent,High Income,>= 50,253,9/17/2012
NY,Gamble,High Income,>= 50,350,9/17/2012
NY,Entertainment,High Income,>= 50,2970,9/17/2012
NY,Food and Restaurent,Low Income,>= 50,500,9/17/2012
NY,Education,High Income,>= 50,700,9/17/2012
NY,Entertainment,High Income,>= 50,590,9/17/2012
NY,Gamble,High Income,<= 30,0,9/17/2012
NY,Education,Low Income,>= 50,1150,9/17/2012
NY,Entertainment,High Income,>= 50,1186,9/17/2012
NY,Education,High Income,>= 50,750,9/17/2012
NY,Food and Restaurent,High Income,<= 30,502.5,9/17/2012
NY,Education,Low Income,>= 50,165,9/17/2012
NY,Food and Restaurent,High Income,>= 50,450,9/17/2012
NY,Hobby,High Income,>= 50,158.72,9/17/2012
NY,Hobby,High Income,>= 50,187,9/17/2012
NY,Hobby,High Income,>= 50,1058,9/17/2012
NY,Education,High Income,30 to 40,1227,9/17/2012
NY,Education,High Income,40 to 50,450,9/17/2012
NY,Hobby,High Income,>= 50,1129.31,9/18/2012
NY,Food and Restaurent,High Income,40 to 50,1977.1,9/18/2012
NY,Entertainment,Low Income,>= 50,923,9/19/2012
NY,Hobby,High Income,40 to 50,828.49,9/19/2012
NY,Hobby,High Income,40 to 50,249,9/19/2012
NY,Entertainment,High Income,>= 50,2614,9/19/2012
NY,Entertainment,High Income,>= 50,378,9/19/2012
NY,Hobby,High Income,>= 50,537.4,9/19/2012
NY,Food and Restaurent,High Income,>= 50,393.79,9/19/2012
NY,Hobby,High Income,40 to 50,384,9/19/2012
NY,Entertainment,High Income,40 to 50,2018,9/19/2012
NY,Hobby,High Income,30 to 40,1201,9/19/2012
NY,Entertainment,High Income,>= 50,460.25,9/19/2012
NY,Entertainment,High Income,>= 50,2015.64,9/19/2012
NY,Hobby,High Income,30 to 40,603,9/19/2012
NY,Hobby,High Income,<= 30,112,9/19/2012
NY,Food and Restaurent,High Income,>= 50,169,9/19/2012
NY,Hobby,High Income,<= 30,438,9/19/2012
NY,Education,High Income,>= 50,530,9/19/2012
NY,Food and Restaurent,Low Income,30 to 40,136,9/19/2012
NY,Entertainment,High Income,>= 50,222,9/19/2012
NY,Education,High Income,>= 50,325,9/19/2012
NY,Entertainment,High Income,40 to 50,462,9/19/2012
NY,Entertainment,High Income,40 to 50,840,9/19/2012
NY,Hobby,High Income,40 to 50,199,9/19/2012
NY,Hobby,High Income,30 to 40,198,9/19/2012
NY,Education,High Income,>= 50,1000,9/19/2012
NY,Entertainment,High Income,>= 50,3638,9/19/2012
NY,Entertainment,High Income,30 to 40,630,9/19/2012
NY,Food and Restaurent,High Income,>= 50,435,9/19/2012
NY,Education,High Income,<= 30,768,9/19/2012
NY,Food and Restaurent,Low Income,>= 50,538,9/19/2012
NY,Entertainment,High Income,>= 50,2400,9/19/2012
NY,Hobby,High Income,>= 50,1760,9/19/2012
NY,Food and Restaurent,High Income,>= 50,350,9/19/2012
NY,Vacation,Low Income,>= 50,66666,9/19/2012
NY,Vacation,Low Income,>= 50,700,9/19/2012
NY,Hobby,High Income,40 to 50,214,9/19/2012
NY,Entertainment,High Income,>= 50,3462,9/19/2012
NY,Hobby,Low Income,>= 50,743,9/19/2012
NY,Entertainment,High Income,>= 50,1241,9/19/2012
NY,Entertainment,High Income,>= 50,1760,9/19/2012
NY,Food and Restaurent,High Income,>= 50,512,9/19/2012
NY,Food and Restaurent,High Income,<= 30,1510,9/19/2012
NY,Entertainment,Medium Income,>= 50,780,9/19/2012
NY,Food and Restaurent,High Income,>= 50,1512,9/19/2012
NY,Entertainment,Low Income,>= 50,699,9/19/2012
NY,Hobby,High Income,30 to 40,1277.54,9/19/2012
NY,Entertainment,High Income,>= 50,380,9/19/2012
NY,Entertainment,High Income,>= 50,830,9/19/2012
NY,Entertainment,Low Income,>= 50,300,9/19/2012
NY,Hobby,High Income,40 to 50,420,9/19/2012
NY,Education,High Income,<= 30,850,9/19/2012
NY,Hobby,High Income,30 to 40,429,9/19/2012
NY,Food and Restaurent,High Income,>= 50,3499,9/19/2012
NY,Food and Restaurent,High Income,>= 50,0,9/19/2012
NY,Education,Low Income,>= 50,1325,9/19/2012
NY,Food and Restaurent,High Income,>= 50,0,9/19/2012
NY,Hobby,High Income,>= 50,201,9/19/2012
NY,Education,High Income,>= 50,389,9/19/2012
NY,Gamble,High Income,>= 50,577,9/19/2012
NY,Entertainment,Low Income,>= 50,399,9/19/2012
NY,Entertainment,High Income,>= 50,935,9/19/2012
NY,Entertainment,High Income,>= 50,4700,9/19/2012
NY,Hobby,High Income,>= 50,209,9/19/2012
NY,Education,High Income,>= 50,1000,9/19/2012
